Station,Latitude,Longitude
Jurong East MRT Station,1.33329506563598,103.742153884191
Bukit Batok MRT Station,1.3487108105756,103.749334517338
Bukit Gombak MRT Station,1.35861159094192,103.751790910733
Choa Chu Kang MRT Station,1.38536316540225,103.744370779756
Yew Tee MRT Station,1.39757979021386,103.747459490883
Kranji MRT Station,1.42508698073648,103.762137459497
Marsiling MRT Station,1.43252114855026,103.774074641403
Woodlands MRT Station,1.43605761708128,103.787938777173
Admiralty MRT Station,1.44058856161847,103.800990519771
Sembawang MRT Station,1.44905082158502,103.820046140211
Canberra MRT Station,1.44307664075699,103.829702590959
Yishun MRT Station,1.42944308477331,103.835005047246
Khatib MRT Station,1.41738337009565,103.832979908243
Yio Chu Kang MRT Station,1.38168259989517,103.844991053696
Ang Mo Kio MRT Station,1.36993284962264,103.849558091776
Bishan MRT Station,1.35131580146658,103.84914026532
Braddell MRT Station,1.3404690010277,103.846799083148
Toa Payoh MRT Station,1.33259672794159,103.847577286075
Novena MRT Station,1.32044079120154,103.843825618748
Newton MRT Station,1.3123189224097,103.837984594021
Orchard MRT Station,1.30242224836722,103.823868523249
Somerset MRT Station,1.30026416739006,103.839085753124
Dhoby Ghaut MRT Station,1.29868872290409,103.846179896647
City Hall MRT Station,1.29298990728295,103.852542630611
Raffles Place MRT Station,1.28393326207164,103.851463066756
Marina Bay MRT Station,1.27642735476716,103.854597776754
Marina South Pier MRT Station,1.27102703612006,103.862447515736
Pasir Ris MRT Station,1.37304331635804,103.949284527763
Tampines MRT Station,1.34551530560119,103.938436971222
Simei MRT Station,1.34319707851829,103.953377214378
Tanah Merah MRT Station,1.32718729074675,103.946348600798
Bedok MRT Station,1.32040148729112,103.957183823478
Kembangan MRT Station,1.3210381335934,103.912947930851
Eunos MRT Station,1.31978354916088,103.903225807255
Paya Lebar MRT Station,1.31719911972353,103.8923648823
Aljunied MRT Station,1.3164326118157,103.882906044385
Kallang MRT Station,1.31148890998818,103.871386541754
Lavender MRT Station,1.30737781747063,103.862767633888
Bugis MRT Station,1.30046508509717,103.855706730933
Tanjong Pagar MRT Station,1.27656131737246,103.845725186759
Outram Park MRT Station,1.27973970679335,103.839513521005
Tiong Bahru MRT Station,1.28610253588403,103.827445112691
Redhill MRT Station,1.28963453412887,103.81674097205
Queenstown MRT Station,1.29455085184931,103.806077155982
Commonwealth MRT Station,1.30250199924325,103.798228523336
Buona Vista MRT Station,1.3072237082044,103.790253514502
Dover MRT Station,1.31140529320963,103.778637841909
Clementi MRT Station,1.31511625277378,103.765191452888
Chinese Garden MRT Station,1.34235282081401,103.732596738363
Lakeside MRT Station,1.34425911493819,103.720949087456
Boon Lay MRT Station,1.33861033900695,103.706084900902
Pioneer MRT Station,1.33758701106708,103.697321608474
Joo Koon MRT Station,1.3277170408447,103.678374996165
Gul Circle MRT Station,1.31947090075208,103.660530461345
Tuas Crescent MRT Station,1.32102695598684,103.649078235627
Tuas West Road MRT Station,1.32998504653102,103.639616648771
Tuas Link MRT Station,1.34088242451105,103.636991425128
Expo MRT Station,1.33538252614956,103.962374747451
Changi Airport MRT Station,1.35747897447692,103.98788356959
HarbourFront MRT Station,1.26538938374901,103.821530157095
Chinatown MRT Station,1.28422391919085,103.845143798953
Clarke Quay MRT Station,1.28838602407588,103.846555209694
Little India MRT Station,1.30724381608438,103.849841614124
Farrer Park MRT Station,1.31190557325774,103.853477716509
Boon Keng MRT Station,1.31959679168634,103.861750715496
Potong Pasir MRT Station,1.3318797140041,103.869057877586
Woodleigh MRT Station,1.33919004519388,103.87081830915
Serangoon MRT Station,1.35063361526525,103.872771660431
Kovan MRT Station,1.360179170



